채용공고고유번호,경력년수정보명,해당채용공고키워드명,조회수,기업명,채용공고제목,업종직종정보명,경력조건정보명,급여수준정보명,학력제한정보명,데이터기준일자,데이터기준일자2
37056273,1년 이상,"생명보험, 법인고객영업, 보험설계",0,삼성생명보험,삼성생명 기업전문재무 컨설턴트 (GFC) 모집(인천 구월동 경인지역단);회계;세무 경력 우대,,경력,46500000,학력무관,2021-01-03,2021
36976736,3년 이상,"소셜커머스, 쇼핑몰, 오픈마켓",0,미래트레이딩,자체몰(카페24;고도물)/제품촬영/웹디자인/SNS(인스타;유튜브편집)운영/오픈몰;타사몰운영,,경력,30500000,대졸(2~3년),2021-01-01,2021
38705767,5년 이상,"면세점, 백화점, 결산",0,㈜삼흥,제조&유통 경리회계 경험자 모집,백화점·유통·도소매; 경리·회계·결산,경력,28500000,대졸(2~3년),2021-09-02,2021
37468397,,"철강, 금속, 절곡",0,㈜오성강업,철근 가공공장 직원 모집합니다.,,관계없음,27500000,학력무관,2021-03-02,2021
38266712,1년 이상,"기구설계, 전기회로, 전자",0,글랜에어테크놀로지,품질팀 직원 채용,,경력,27500000,대졸(2~3년),2021-06-02,2021
38530094,1년 이상,"물류, 유통, 유통관리",0,㈜제일헬스케어,온라인관리및물류직원모집,,경력,26500000,학력무관,2021-07-01,2021
39571464,,"기구설계, 전기회로, 전자",0,글랜에어테크놀로지,구매 및 자재관리 신입사원 채용,전기·전자·제어; 구매·자재,신입,26500000,고졸,2021-10-31,2021
38278399,,"금속가공, 문서관리, 문서작성",3,㈜원에스티,사무지원 계약직 사원 채용,,관계없음,26000000,고졸,2021-06-03,2021
37274746,1년 이상,"간호조무, 간호조무사, 산부인과",0,로앤산부인과의원,안산점)간호조무사 모집합니다(진료보조 모집으로 자격증없어도 됩니다),,경력,25000000,학력무관,2021-02-02,2021
38542486,,"사회복지, 경리, 세무",0,행복을만드는집,장애인직업재활시설(행복을만드는집) 사무원 채용,,관계없음,24405000,학력무관,2021-07-02,2021
37755621,1년 이상,"영업기획, 증권, 텔러",0,㈜더씨와이인베스트먼트,보험사 영업자 분들 월 1000만원미만 받으시는분없습니다 초보일경우 최소 월500만원 미만은 없습니다,,경력,23500000,학력무관,2021-04-03,2021
39090046,,"코디네이터, 접수",0,로앤산부인과의원,코디네이터 모집합니다.(추가모집),의료(간호·원무·상담); 사무·원무·코디,관계없음,22500000,학력무관,2021-09-03,2021
39323734,,"애널리스트, 증권사, 펀드매니저",0,스타플랜잇,[증권;주식TM] 전직원 월2;000만원 이상 급여확인 부천지사 신입 대환영 인재 채용,증권·보험·카드; 금융·보험영업; 아웃바운드TM; 고객상담·인바운드,관계없음,21000000,학력무관,2021-10-03,2021
38554558,,"인터넷방송, 사무보조",0,한국어린이TV 방송국,초등학생 학부모님 5분만 선착순 급특채.원하는;이상의 연봉을 드립니다.,,관계없음,19300000,학력무관,2021-07-03,2021
37053853,1년 이상,"인바운드TM, 대출tm, 보험TM",0,㈜더플러스인베스트,[인천지사] 2;30대에 벤츠를 타고싶다면 지원하세요; 신입일수록 좋아요. 정착지원금 최대 200만원; 월 실수령액 500만원 이상; 상상하지도 못한 내 급여(최상의 DB)(중식제공)(주식/증권)(쉬운영업)(외감법인),,경력,18500000,고졸,2021-01-01,2021
39571470,2년 이상,"기구설계, 전기회로, 전자",0,글랜에어테크놀로지,구매 및 자재관리 경력사원 채용(모집),전기·전자·제어; 구매·자재,경력,18500000,고졸,2021-10-31,2021
37167497,1년 이상,"인바운드TM, 투자자문, 대출tm",0,㈜더퍼스트인베스트먼트,[증권TM 추가 모집] 인천에서 가장 많은 돈을 벌 수 있는 곳은 이곳입니다. 보험/여행사/대출/통신사/휴대폰,,경력,18500000,고졸,2021-03-03,2021
39323523,,"모델하우스, 부동산컨설팅, 분양",0,청아,[기본급 지급 인센티브 400만원] 양재역 모델하우스에서 신입or경력사원 채용.,부동산·중개·임대; 마케팅·광고·분석; 아웃바운드TM; 부동산·중개·분양·경매,관계없음,18250000,고졸,2021-10-03,2021
39572036,,"모델하우스, 부동산컨설팅, 분양",0,청아,[기본급 지급 인센티브 400만원] 안산 중앙역 모델하우스에서 신입or경력사원 채용.,부동산·중개·임대; 마케팅·광고·분석; 아웃바운드TM; 부동산·중개·분양·경매,관계없음,18250000,고졸,2021-11-01,2021
38002353,,"모델하우스, 부동산컨설팅, 분양",0,청아,[기본급 지급 인센티브 400만원] 안산 모델하우스 분양현장 신입; 경력직원,,관계없음,18250000,고졸,2021-05-02,2021
38266788,,"모델하우스, 부동산컨설팅, 분양",0,청아,[기본급 지급 인센티브 400만원] 안산 모델하우스 분양현장 신입; 경력직원,,관계없음,18250000,고졸,2021-06-02,2021
38542644,,"모델하우스, 부동산컨설팅, 분양",0,청아,[기본급 지급 인센티브 400만원] 안산 모델하우스 분양현장 신입; 경력직원,,관계없음,18250000,고졸,2021-07-02,2021
38111932,1년 이상,"부동산, 부동산 중개, 부동산 영업",0,땅파는남자들부동산공인중개사사무소,llllll[땅파는남자들 부동산] 신입직원 채용-부동산llllll,,경력,17500000,학력무관,2021-07-03,2021
37261704,,"한의과, 간호조무사, 한의원",0,자강한의원,성남 분당 미금역 소재 한의원. (데스크. 환자관리; 치료실 등) 좋은 선생님 구인합니다.,,관계없음,17300000,학력무관,2021-01-31,2021
37284874,,"한의과, 간호조무사, 한의원",0,자강한의원,성남 분당 미금역 소재 한의원. (데스크. 환자관리; 치료실 등) 좋은 선생님 구인합니다.,,관계없음,17300000,학력무관,2021-02-03,2021
38377574,1년 이상,"양식당, 요리사, 조리사",0,㈜SG다인힐,[SG다인힐] 양식 스테이크 하우스 붓처스컷 판교점 (월9회휴무)홀 ; 주방 신입/경력 모집,,경력,16890000,학력무관,2021-06-30,2021
37465377,1년 이상,"AR, Unity, vr",0,프렌즈마켓㈜,[롯데월드타워] android ios app 개발자 / 디자이너 3년이상 경력,,경력,15000000,학력무관,2021-02-28,2021
37465355,1년 이상,"상품기획, 쇼핑몰, 전자상거래",0,프렌즈마켓㈜,[롯데월드타워] java back-end 개발자 3년이상 경력,,경력,15000000,학력무관,2021-02-28,2021
38266493,1년 이상,"UI·UX디자인, 모바일게임, 모바일App",0,79플랫폼(79platform),[롯데월드타워] Android Ios 개발자 -업계최고복지-,,경력,15000000,학력무관,2021-06-02,2021
38266500,1년 이상,"UI·UX디자인, 모바일게임, 모바일App",0,79플랫폼(79platform),[롯데월드타워] unreal  개발자 / 3D 디자이너 -업계최고복지-,,경력,15000000,학력무관,2021-06-02,2021
38004402,1년 이상,"UI·UX디자인, 모바일게임, 모바일App",0,79플랫폼(79platform),[롯데월드타워] Android Ios 개발자 / UiUx 디자이너 -업계최고복지-,,경력,15000000,학력무관,2021-05-03,2021
37465369,1년 이상,"AR, Unity, vr",0,프렌즈마켓㈜,[롯데월드타워] 3D 게임 개발자 / 디자이너 3년이상 경력,,경력,15000000,학력무관,2021-02-28,2021
38004398,1년 이상,"UI·UX디자인, 모바일게임, 모바일App",0,79플랫폼(79platform),[롯데월드타워] Unreal 게임 개발자 -업계최고복지-,,경력,15000000,학력무관,2021-05-03,2021
38806211,1년 이상,"상품기획, 쇼핑몰, 전자상거래",0,프렌즈마켓㈜,[롯데월드타워 입주] 게임 서버 개발자 경력,,경력,15000000,학력무관,2021-08-02,2021
38266516,1년 이상,"모바일게임, 모바일App, 스마트폰",0,79플랫폼(79platform),[롯데월드타워 입주사] 미국 재무 회계 경력 CFO - 업계최고복지 -,,경력,15000000,학력무관,2021-06-02,2021
37465421,1년 이상,"모바일게임, 모바일App, 스마트폰",0,79플랫폼(79platform),[잠실] 카카오 / 네이버 / 배민 / 쿠팡 / 쏘카 출신 개발자 스카웃,,경력,15000000,학력무관,2021-02-28,2021
37465408,1년 이상,"모바일게임, 모바일App, 스마트폰",0,79플랫폼(79platform),[잠실] IT 개발자 분야별 경력 대규모 영입,,경력,15000000,학력무관,2021-02-28,2021
37465388,1년 이상,"모바일게임, 모바일App, 스마트폰",0,79플랫폼(79platform),[잠실] ios android 앱 개발자 경력 영입,,경력,15000000,학력무관,2021-02-28,2021
38806182,1년 이상,"UI·UX디자인, 모바일게임, 모바일App",0,79플랫폼(79platform),[롯데월드타워 입주] 게임 서버 개발자 경력,,경력,13500000,학력무관,2021-08-02,2021
38632004,,"간호, 간호조무, 간호조무사",0,로앤산부인과의원,간호 조무사;외래 진료보조 선생님 모십니다.,의료(간호·원무·상담); 간호조무사,관계없음,13000000,학력무관,2021-09-03,2021
38806203,1년 이상,"UI·UX디자인, 모바일게임, 모바일App",0,79플랫폼(79platform),[롯데월드타워] 게임 언리얼 개발자 / 디자이너 -업계최고복지-,,경력,12500000,학력무관,2021-08-02,2021
38806179,1년 이상,"UI·UX디자인, 모바일게임, 모바일App",0,79플랫폼(79platform),[롯데월드타워] java 백엔드 / 프론트엔드 개발자,,경력,12500000,학력무관,2021-08-02,2021
38004389,1년 이상,"모바일게임, 모바일App, 스마트폰",0,79플랫폼(79platform),[롯데월드타워 입주사] 변호사; 법무법인; 기업변호사 - 업계최고복지 -,,경력,12500000,학력무관,2021-05-03,2021
38266037,1년 이상,"상품기획, 쇼핑몰, 전자상거래",0,프렌즈마켓㈜,[롯데월드타워 입주] Unreal 게임 개발자 경력  -업계최고복지-,,경력,12500000,학력무관,2021-06-02,2021
38266235,1년 이상,"상품기획, 쇼핑몰, 전자상거래",0,프렌즈마켓㈜,[롯데월드타워 입주] android ios 개발자 경력  -업계최고복지-,,경력,12500000,학력무관,2021-06-02,2021
38266538,1년 이상,"UI·UX디자인, 모바일게임, 모바일App",0,79플랫폼(79platform),[롯데월드타워] 게임 개발자 / 게임 디자이너 -업계최고복지-,,경력,12500000,학력무관,2021-06-02,2021
37055366,1년 이상,"상품기획, 쇼핑몰, 전자상거래",0,하루의 아침,[롯데월드타워] 퍼블리셔; 개발자 경력,,경력,11500000,학력무관,2021-01-02,2021
