채용공고고유번호,경력년수정보명,해당채용공고키워드명,조회수,기업명,채용공고제목,업종직종정보명,경력조건정보명,급여수준정보명,학력제한정보명,데이터기준일자,데이터기준일자2
36617438,,"고액연봉, 법인컨설팅, 온라인영업",0,한국보험금융,[월 평균급여 500만원] 언택트(비대면) 재무설계사 특별채용 [한국보험금융],,관계없음,65000000,학력무관,2020-11-01,2020
34583625,,"화장품, 생산관리, 생산직",0,엠코(MCO),[연봉4천/화장품대기업/코스닥상장사/경력/정규직채용] 생산관리 경력직 채용,,관계없음,51999000,대졸(2~3년),2020-01-15,2020
34599829,,"화장품, 생산관리, 생산직",0,엠코(MCO),[연봉4천/화장품대기업/코스닥상장사/경력/정규직채용] 생산관리 경력직 채용,,관계없음,51999000,대졸(2~3년),2020-01-17,2020
34593227,,"화장품, 생산관리, 생산직",0,엠코(MCO),[연봉4천/화장품대기업/코스닥상장사/경력/정규직채용] 생산관리 경력직 채용,,관계없음,51999000,대졸(2~3년),2020-01-16,2020
34673282,1년 이상,자동차정비,0,르노삼성자동차 공도정비사업소,자동차 일반정비 신입/경력 기사님을모집합니다.,,경력,51049000,학력무관,2020-01-29,2020
34938953,,"보험영업, 손해보험, 화재보험",0,메리츠화재해상보험주식회사,[수수료1100퍼센트]메리츠화재  설계사가 부사장이 되는 회사,,관계없음,50249000,학력무관,2020-02-29,2020
34653509,,"보험영업, 손해보험, 화재보험",0,메리츠화재해상보험주식회사,[수수료1100퍼센트]메리츠화재  설계사가 부사장이 되는 회사,,관계없음,50249000,학력무관,2020-01-24,2020
34603854,7년 이상,"건설, 공무, 시공관리",0,그린플러스종합건설,하남시 감일지구 근린생활시설 현장시공과장 모집,,경력,50000000,대졸(2~3년),2020-01-17,2020
37056273,1년 이상,"생명보험, 법인고객영업, 보험설계",0,삼성생명보험,삼성생명 기업전문재무 컨설턴트 (GFC) 모집(인천 구월동 경인지역단);회계;세무 경력 우대,,경력,46500000,학력무관,2021-01-03,2021
34641643,1년 이상,"촉매개발, 에너지, 화공",0,키나바,촉매개발 연구원 모집 ((주)키나바),,경력,45600000,석사,2020-01-22,2020
34644143,5년 이상,"전기, 전기공사",0,㈜진솔이앤지,전기.통신.소방업체 공무구함,,경력,45000000,학력무관,2020-01-23,2020
34912733,1년 이상,"건설자재, 금속, 금속가공",0,㈜세건엔지니어링,영업관리 내근직 사원 구인,,경력,38500000,고졸,2020-02-26,2020
